,NCAA,Inter,G League,HS,,,NCAA,Inter,G League,HS,,,,,,Ronald Holland II,Detroit Pistons,Ignite (G League),2024,1,5,5,G League,YES,,Duke,71,NCAA
,,,,,,,,,,,,,,,,Ramon Sessions,Milwaukee Bucks,Nevada-Reno,2007,2,26,56,NCAA,,,,,
,,,,,,,,,,,,,,,,Sammy Mejia,Detroit Pistons,DePaul,2007,2,27,57,NCAA,,,,,
,,,,,,,,,,,,,,,,DJ Strawberry,Phoenix Suns,Maryland,2007,2,29,59,NCAA,,,,,
,,,,,,,,,,,,,,,,LaMarcus Aldridge,Chicago Bulls,Texas,2006,1,2,2,NCAA,,,,,
,,,,,,,,,,,,,,,,Adam Morrison,Charlotte Bobcats,Gonzaga,2006,1,3,3,NCAA,,,,,
,,,,,,,,,,,,,,,,Tyrus Thomas,Portland Trail Blazers,Louisiana State,2006,1,4,4,NCAA,,,,,
,,,,,,,,,,,,,,,,Shelden Williams,Atlanta Hawks,Duke,2006,1,5,5,NCAA,,,,,
,,,,,,,,,,,,,,,,Brandon Roy,Minnesota Timberwolves,Washington,2006,1,6,6,NCAA,,,,,
,,,,,,,,,,,,,,,,Randy Foye,Boston Celtics,Villanova,2006,1,7,7,NCAA,,,,,
,,,,,,,,,,,,,,,,Rudy Gay,Houston Rockets,Connecticut,2006,1,8,8,NCAA,,,,,
,,,,,,,,,,,,,,,,JJ Redick,Orlando Magic,Duke,2006,1,11,11,NCAA,,,,,
,,,,,,,,,,,,,,,,Hilton Armstrong,New Orleans/Oklahoma City Hornets,Connecticut,2006,1,12,12,NCAA,,,,,
,,,,,,,,,,,,,,,,Ronnie Brewer,Utah Jazz,Arkansas,2006,1,14,14,NCAA,,,,,
,,,,,,,,,,,,,,,,Cedric Simmons,New Orleans/Oklahoma City Hornets,North Carolina State,2006,1,15,15,NCAA,,,,,
,,,,,,,,,,,,,,,,Rodney Carney,Chicago Bulls,Memphis,2006,1,16,16,NCAA,,,,,
,,,,,,,,,,,,,,,,Shawne Williams,Indiana Pacers,Memphis,2006,1,17,17,NCAA,,,,,
,,,,,,,,,,,,,,,,Quincy Douby,Sacramento Kings,Rutgers,2006,1,19,19,NCAA,,,,,
,,,,,,,,,,,,,,,,Renaldo Balkman,New York Knicks,South Carolina,2006,1,20,20,NCAA,,,,,
,,,,,,,,,,,,,,,,Rajon Rondo,Phoenix Suns,Kentucky,2006,1,21,21,NCAA,,,,,
,,,,,,,,,,,,,,,,Marcus Williams,New Jersey Nets,Connecticut,2006,1,22,22,NCAA,,,,,
,,,,,,,,,,,,,,,,Josh Boone,New Jersey Nets,Connecticut,2006,1,23,23,NCAA,,,,,
,,,,,,,,,,,,,,,,Kyle Lowry,Memphis Grizzlies,Villanova,2006,1,24,24,NCAA,,,,,
,,,,,,,,,,,,,,,,Shannon Brown,Cleveland Cavaliers,Michigan State,2006,1,25,25,NCAA,,,,,
,,,,,,,,,,,,,,,,Jordan Farmar,Los Angeles Lakers,California-Los Angeles,2006,1,26,26,NCAA,,,,,
,,,,,,,,,,,,,,,,Maurice Ager,Dallas Mavericks,Michigan State,2006,1,28,28,NCAA,,,,,
,,,,,,,,,,,,,,,,Mardy Collins,New York Knicks,Temple,2006,1,29,29,NCAA,,,,,
,,,,,,,,,,,,,,,,James White,Portland Trail Blazers,Cincinnati,2006,2,1,31,NCAA,,,,,
,,,,,,,,,,,,,,,,Steve Novak,Houston Rockets,Marquette,2006,2,2,32,NCAA,,,,,
,,,,,,,,,,,,,,,,Paul Davis,Los Angeles Clippers,Michigan State,2006,2,4,34,NCAA,,,,,
,,,,,,,,,,,,,,,,P.J. Tucker,Toronto Raptors,Texas,2006,2,5,35,NCAA,,,,,
,,,,,,,,,,,,,,,,Craig Smith,Minnesota Timberwolves,Boston College,2006,2,6,36,NCAA,,,,,
,,,,,,,,,,,,,,,,Bobby Jones,Minnesota Timberwolves,Washington,2006,2,7,37,NCAA,,,,,
,,,,,,,,,,,,,,,,David Noel,Milwaukee Bucks,North Carolina,2006,2,9,39,NCAA,,,,,
,,,,,,,,,,,,,,,,Denham Brown,Seattle SuperSonics,Connecticut,2006,2,10,40,NCAA,,,,,
,,,,,,,,,,,,,,,,James Augustine,Orlando Magic,Illinois,2006,2,11,41,NCAA,,,,,
,,,,,,,,,,,,,,,,Daniel Gibson,Cleveland Cavaliers,Texas,2006,2,12,42,NCAA,,,,,
,,,,,,,,,,,,,,,,Alexander Johnson,Indiana Pacers,Florida State,2006,2,15,45,NCAA,,,,,
,,,,,,,,,,,,,,,,Dee Brown,Utah Jazz,Illinois,2006,2,16,46,NCAA,,,,,
,,,,,,,,,,,,,,,,Paul Millsap,Utah Jazz,Louisiana Tech,2006,2,17,47,NCAA,,,,,
,,,,,,,,,,,,,,,,Leon Powe,Denver Nuggets,California,2006,2,19,49,NCAA,,,,,
,,,,,,,,,,,,,,,,Ryan Hollins,Charlotte Bobcats,California-Los Angeles,2006,2,20,50,NCAA,,,,,
,,,,,,,,,,,,,,,,Guillermo Diaz,Los Angeles Clippers,Miami (FL),2006,2,22,52,NCAA,,,,,
,,,,,,,,,,,,,,,,Hassan Adams,New Jersey Nets,Arizona,2006,2,24,54,NCAA,,,,,
,,,,,,,,,,,,,,,,Will Blalock,Detroit Pistons,Iowa State,2006,2,30,60,NCAA,,,,,
,,,,,,,,,,,,,,,,Andrew Bogut,Milwaukee Bucks,Utah,2005,1,1,1,NCAA,,,,,
,,,,,,,,,,,,,,,,Marvin Williams,Atlanta Hawks,North Carolina,2005,1,2,2,NCAA,,,,,
,,,,,,,,,,,,,,,,Deron Williams,Utah Jazz,Illinois,2005,1,3,3,NCAA,,,,,
,,,,,,,,,,,,,,,,Chris Paul,New Orleans/Oklahoma City Hornets,Wake Forest,2005,1,4,4,NCAA,,,,,
,,,,,,,,,,,,,,,,Raymond Felton,Charlotte Bobcats,North Carolina,2005,1,5,5,NCAA,,,,,
,,,,,,,,,,,,,,,,Charlie Villanueva,Toronto Raptors,Connecticut,2005,1,7,7,NCAA,,,,,
,,,,,,,,,,,,,,,,Channing Frye,New York Knicks,Arizona,2005,1,8,8,NCAA,,,,,
,,,,,,,,,,,,,,,,Ike Diogu,Golden State Warriors,Arizona State,2005,1,9,9,NCAA,,,,,
,,,,,,,,,,,,,,,,Sean May,Charlotte Bobcats,North Carolina,2005,1,13,13,NCAA,,,,,
,,,,,,,,,,,,,,,,Rashad McCants,Minnesota Timberwolves,North Carolina,2005,1,14,14,NCAA,,,,,
,,,,,,,,,,,,,,,,Antoine Wright,New Jersey Nets,Texas A&M,2005,1,15,15,NCAA,,,,,
,,,,,,,,,,,,,,,,Joey Graham,Toronto Raptors,Oklahoma State,2005,1,16,16,NCAA,,,,,
,,,,,,,,,,,,,,,,Danny Granger,Indiana Pacers,New Mexico,2005,1,17,17,NCAA,,,,,
,,,,,,,,,,,,,,,,Hakim Warrick,Memphis Grizzlies,Syracuse,2005,1,19,19,NCAA,,,,,
,,,,,,,,,,,,,,,,Julius Hodge,Denver Nuggets,North Carolina State,2005,1,20,20,NCAA,,,,,
,,,,,,,,,,,,,,,,Nate Robinson,Phoenix Suns,Washington,2005,1,21,21,NCAA,,,,,
,,,,,,,,,,,,,,,,Jarrett Jack,Denver Nuggets,Georgia Tech,2005,1,22,22,NCAA,,,,,
,,,,,,,,,,,,,,,,Francisco Garcia,Sacramento Kings,Louisville,2005,1,23,23,NCAA,,,,,
,,,,,,,,,,,,,,,,Luther Head,Houston Rockets,Illinois,2005,1,24,24,NCAA,,,,,
,,,,,,,,,,,,,,,,Jason Maxiell,Detroit Pistons,Cincinnati,2005,1,26,26,NCAA,,,,,
,,,,,,,,,,,,,,,,Linas Kleiza,Portland Trail Blazers,Missouri,2005,1,27,27,NCAA,,,,,
,,,,,,,,,,,,,,,,Wayne Simien,Miami Heat,Kansas,2005,1,29,29,NCAA,,,,,
,,,,,,,,,,,,,,,,David Lee,New York Knicks,Florida,2005,1,30,30,NCAA,,,,,
,,,,,,,,,,,,,,,,Salim Stoudamire,Atlanta Hawks,Arizona,2005,2,1,31,NCAA,,,,,
,,,,,,,,,,,,,,,,Daniel Ewing,Los Angeles Clippers,Duke,2005,2,2,32,NCAA,,,,,
,,,,,,,,,,,,,,,,Brandon Bass,New Orleans/Oklahoma City Hornets,Louisiana State,2005,2,3,33,NCAA,,,,,
,,,,,,,,,,,,,,,,Ronny Turiaf,Los Angeles Lakers,Gonzaga,2005,2,7,37,NCAA,,,,,
,,,,,,,,,,,,,,,,Travis Diener,Orlando Magic,Marquette,2005,2,8,38,NCAA,,,,,
,,,,,,,,,,,,,,,,Von Wafer,Los Angeles Lakers,Florida State,2005,2,9,39,NCAA,,,,,
,,,,,,,,,,,,,,,,Chris Taft,Golden State Warriors,Pittsburgh,2005,2,12,42,NCAA,,,,,
,,,,,,,,,,,,,,,,Bracey Wright,Minnesota Timberwolves,Indiana,2005,2,17,47,NCAA,,,,,
,,,,,,,,,,,,,,,,Ryan Gomes,Boston Celtics,Providence,2005,2,20,50,NCAA,,,,,
,,,,,,,,,,,,,,,,Dijon Thompson,New York Knicks,California-Los Angeles,2005,2,24,54,NCAA,,,,,
,,,,,,,,,,,,,,,,Lawrence Roberts,Seattle SuperSonics,Mississippi,2005,2,25,55,NCAA,,,,,
,,,,,,,,,,,,,,,,Alex Acker,Detroit Pistons,Pepperdine,2005,2,30,60,NCAA,,,,,
,,,,,,,,,,,,,,,,Emeka Okafor,Charlotte Bobcats,Connecticut,2004,1,2,2,NCAA,,,,,
,,,,,,,,,,,,,,,,Ben Gordon,Chicago Bulls,Connecticut,2004,1,3,3,NCAA,,,,,
,,,,,,,,,,,,,,,,Devin Harris,Washington Wizards,Wisconsin,2004,1,5,5,NCAA,,,,,
,,,,,,,,,,,,,,,,Josh Childress,Atlanta Hawks,Stanford,2004,1,6,6,NCAA,,,,,
,,,,,,,,,,,,,,,,Luol Deng,Phoenix Suns,Duke,2004,1,7,7,NCAA,,,,,
,,,,,,,,,,,,,,,,Rafael Araujo,Toronto Raptors,Brigham Young,2004,1,8,8,NCAA,,,,,
,,,,,,,,,,,,,,,,Andre Iguodala,Philadelphia 76ers,Arizona,2004,1,9,9,NCAA,,,,,
,,,,,,,,,,,,,,,,Luke Jackson,Cleveland Cavaliers,Oregon,2004,1,10,10,NCAA,,,,,
,,,,,,,,,,,,,,,,Kris Humphries,Utah Jazz,Minnesota,2004,1,14,14,NCAA,,,,,
,,,,,,,,,,,,,,,,Kirk Snyder,Utah Jazz,Nevada-Reno,2004,1,16,16,NCAA,,,,,
,,,,,,,,,,,,,,,,Jameer Nelson,Denver Nuggets,Saint Joseph's,2004,1,20,20,NCAA,,,,,
,,,,,,,,,,,,,,,,Delonte West,Boston Celtics,Saint Joseph's,2004,1,24,24,NCAA,,,,,
,,,,,,,,,,,,,,,,Tony Allen,Boston Celtics,Oklahoma State,2004,1,25,25,NCAA,,,,,
,,,,,,,,,,,,,,,,David Harrison,Indiana Pacers,Colorado,2004,1,29,29,NCAA,,,,,
,,,,,,,,,,,,,,,,Jackson Vroman,Chicago Bulls,Iowa State,2004,2,2,31,NCAA,,,,,
,,,,,,,,,,,,,,,,Lionel Chalmers,Los Angeles Clippers,Xavier,2004,2,4,33,NCAA,,,,,
,,,,,,,,,,,,,,,,Andre Emmett,Seattle SuperSonics,Texas Tech,2004,2,6,35,NCAA,,,,,
,,,,,,,,,,,,,,,,Antonio Burks,Orlando Magic,Memphis,2004,2,7,36,NCAA,,,,,
,,,,,,,,,,,,,,,,Royal Ivey,Atlanta Hawks,Brigham Young,2004,2,8,37,NCAA,,,,,
,,,,,,,,,,,,,,,,Chris Duhon,Chicago Bulls,Duke,2004,2,9,38,NCAA,,,,,
,,,,,,,,,,,,,,,,Justin Reed,Boston Celtics,Mississippi,2004,2,11,40,NCAA,,,,,
,,,,,,,,,,,,,,,,Trevor Ariza,New York Knicks,California-Los Angeles,2004,2,14,43,NCAA,,,,,
,,,,,,,,,,,,,,,,Tim Pickett,New Orleans Hornets,Florida State,2004,2,15,44,NCAA,,,,,
,,,,,,,,,,,,,,,,Bernard Robinson,Charlotte Bobcats,Michigan,2004,2,16,45,NCAA,,,,,
,,,,,,,,,,,,,,,,Sergei Lishouk,Memphis Grizzlies,Miami (FL),2004,2,20,49,NCAA,,,,,
,,,,,,,,,,,,,,,,Romain Sato,San Antonio Spurs,Xavier,2004,2,23,52,NCAA,,,,,
,,,,,,,,,,,,,,,,Matt Freije,Miami Heat,Vanderbilt,2004,2,24,53,NCAA,,,,,
,,,,,,,,,,,,,,,,Rickey Paulding,Detroit Pistons,Missouri,2004,2,25,54,NCAA,,,,,
,,,,,,,,,,,,,,,,Marcus Douthit,Los Angeles Lakers,Providence,2004,2,27,56,NCAA,,,,,
,,,,,,,,,,,,,,,,Blake Stepp,Minnesota Timberwolves,Gonzaga,2004,2,29,58,NCAA,,,,,
,,,,,,,,,,,,,,,,Rashad Wright,Indiana Pacers,Georgia,2004,2,30,59,NCAA,,,,,
,,,,,,,,,,,,,,,,Carmelo Anthony,Denver Nuggets,Syracuse,2003,1,3,3,NCAA,,,,,
,,,,,,,,,,,,,,,,Chris Bosh,Toronto Raptors,Georgia Tech,2003,1,4,4,NCAA,,,,,
,,,,,,,,,,,,,,,,Dwyane Wade,Miami Heat,Marquette,2003,1,5,5,NCAA,,,,,
,,,,,,,,,,,,,,,,Kirk Hinrich,Chicago Bulls,Kansas,2003,1,7,7,NCAA,,,,,
,,,,,,,,,,,,,,,,T.J. Ford,Milwaukee Bucks,Texas,2003,1,8,8,NCAA,,,,,
,,,,,,,,,,,,,,,,Michael Sweetney,New York Knicks,Georgetown,2003,1,9,9,NCAA,,,,,
,,,,,,,,,,,,,,,,Jarvis Hayes,Washington Wizards,Georgia,2003,1,10,10,NCAA,,,,,
,,,,,,,,,,,,,,,,Nick Collison,Seattle SuperSonics,Kansas,2003,1,12,12,NCAA,,,,,
,,,,,,,,,,,,,,,,Marcus Banks,Memphis Grizzlies,Nevada-Las Vegas,2003,1,13,13,NCAA,,,,,
,,,,,,,,,,,,,,,,Luke Ridnour,Seattle SuperSonics,Oregon,2003,1,14,14,NCAA,,,,,
,,,,,,,,,,,,,,,,Reece Gaines,Orlando Magic,Louisville,2003,1,15,15,NCAA,,,,,
,,,,,,,,,,,,,,,,Troy Bell,Boston Celtics,Boston College,2003,1,16,16,NCAA,,,,,
,,,,,,,,,,,,,,,,David West,New Orleans Hornets,Xavier,2003,1,18,18,NCAA,,,,,
,,,,,,,,,,,,,,,,Dahntay Jones,Boston Celtics,Duke,2003,1,20,20,NCAA,,,,,
,,,,,,,,,,,,,,,,Brian Cook,Los Angeles Lakers,Illinois,2003,1,24,24,NCAA,,,,,
,,,,,,,,,,,,,,,,Josh Howard,Dallas Mavericks,Wake Forest,2003,1,29,29,NCAA,,,,,
,,,,,,,,,,,,,,,,Jason Kapono,Cleveland Cavaliers,California-Los Angeles,2003,2,2,31,NCAA,,,,,
,,,,,,,,,,,,,,,,Luke Walton,Los Angeles Lakers,Arizona,2003,2,3,32,NCAA,,,,,
,,,,,,,,,,,,,,,,Mario Austin,Chicago Bulls,Mississippi State,2003,2,7,36,NCAA,,,,,
,,,,,,,,,,,,,,,,Travis Hansen,Atlanta Hawks,Brigham Young,2003,2,8,37,NCAA,,,,,
,,,,,,,,,,,,,,,,Steve Blake,Washington Wizards,Maryland,2003,2,9,38,NCAA,,,,,
,,,,,,,,,,,,,,,,Derrick Zimmerman,Golden State Warriors,Mississippi State,2003,2,11,40,NCAA,,,,,
,,,,,,,,,,,,,,,,Keith Bogans,Milwaukee Bucks,Kentucky,2003,2,14,43,NCAA,,,,,
,,,,,,,,,,,,,,,,Matt Bonner,Chicago Bulls,Florida,2003,2,16,45,NCAA,,,,,
,,,,,,,,,,,,,,,,Mo Williams,Utah Jazz,Alabama,2003,2,18,47,NCAA,,,,,
,,,,,,,,,,,,,,,,James Jones,Indiana Pacers,Miami (FL),2003,2,20,49,NCAA,,,,,
,,,,,,,,,,,,,,,,Kyle Korver,New Jersey Nets,Creighton,2003,2,22,51,NCAA,,,,,
,,,,,,,,,,,,,,,,Tommy Smith,Chicago Bulls,Arizona State,2003,2,24,53,NCAA,,,,,
,,,,,,,,,,,,,,,,Rick Rickert,Minnesota Timberwolves,Minnesota,2003,2,26,55,NCAA,,,,,
,,,,,,,,,,,,,,,,Brandon Hunter,Boston Celtics,Ohio,2003,2,27,56,NCAA,,,,,
,,,,,,,,,,,,,,,,Jay Williams,Chicago Bulls,Duke,2002,1,2,2,NCAA,,,,,
,,,,,,,,,,,,,,,,Mike Dunleavy,Golden State Warriors,Duke,2002,1,3,3,NCAA,,,,,
,,,,,,,,,,,,,,,,Drew Gooden,Memphis Grizzlies,Kansas,2002,1,4,4,NCAA,,,,,
,,,,,,,,,,,,,,,,Dajuan Wagner,Cleveland Cavaliers,Memphis,2002,1,6,6,NCAA,,,,,
,,,,,,,,,,,,,,,,Chris Wilcox,Los Angeles Clippers,Maryland,2002,1,8,8,NCAA,,,,,
,,,,,,,,,,,,,,,,Caron Butler,Miami Heat,Connecticut,2002,1,10,10,NCAA,,,,,
,,,,,,,,,,,,,,,,Jared Jeffries,Washington Wizards,Indiana,2002,1,11,11,NCAA,,,,,
,,,,,,,,,,,,,,,,Melvin Ely,Los Angeles Clippers,Fresno State,2002,1,12,12,NCAA,,,,,
,,,,,,,,,,,,,,,,Marcus Haislip,Milwaukee Bucks,Tennessee,2002,1,13,13,NCAA,,,,,
,,,,,,,,,,,,,,,,Fred Jones,Indiana Pacers,Oregon,2002,1,14,14,NCAA,,,,,
,,,,,,,,,,,,,,,,Juan Dixon,Washington Wizards,Maryland,2002,1,17,17,NCAA,,,,,
,,,,,,,,,,,,,,,,Curtis Borchardt,Orlando Magic,Stanford,2002,1,18,18,NCAA,,,,,
,,,,,,,,,,,,,,,,Ryan Humphrey,Utah Jazz,Notre Dame,2002,1,19,19,NCAA,,,,,
,,,,,,,,,,,,,,,,Kareem Rush,Toronto Raptors,Missouri,2002,1,20,20,NCAA,,,,,
,,,,,,,,,,,,,,,,Casey Jacobsen,Phoenix Suns,Stanford,2002,1,22,22,NCAA,,,,,
,,,,,,,,,,,,,,,,Tayshaun Prince,Detroit Pistons,Kentucky,2002,1,23,23,NCAA,,,,,
,,,,,,,,,,,,,,,,Frank Williams,Denver Nuggets,Illinois,2002,1,25,25,NCAA,,,,,
,,,,,,,,,,,,,,,,John Salmons,San Antonio Spurs,Miami (FL),2002,1,26,26,NCAA,,,,,
,,,,,,,,,,,,,,,,Chris Jefferies,Los Angeles Lakers,Fresno State,2002,1,27,27,NCAA,,,,,
,,,,,,,,,,,,,,,,Dan Dickau,Sacramento Kings,Gonzaga,2002,1,28,28,NCAA,,,,,
,,,,,,,,,,,,,,,,Steve Logan,Golden State Warriors,Cincinnati,2002,2,1,29,NCAA,,,,,
,,,,,,,,,,,,,,,,Roger Mason Jr.,Chicago Bulls,Virginia,2002,2,2,30,NCAA,,,,,
,,,,,,,,,,,,,,,,Robert Archibald,Memphis Grizzlies,Illinois,2002,2,3,31,NCAA,,,,,
,,,,,,,,,,,,,,,,Vincent Yarbrough,Denver Nuggets,Tennessee,2002,2,4,32,NCAA,,,,,
,,,,,,,,,,,,,,,,Dan Gadzuric,Milwaukee Bucks,California-Los Angeles,2002,2,5,33,NCAA,,,,,
,,,,,,,,,,,,,,,,Carlos Boozer,Cleveland Cavaliers,Duke,2002,2,6,34,NCAA,,,,,
,,,,,,,,,,,,,,,,Tito Maddox,Houston Rockets,Fresno State,2002,2,9,37,NCAA,,,,,
,,,,,,,,,,,,,,,,Rod Grizzard,Washington Wizards,Alabama,2002,2,10,38,NCAA,,,,,
,,,,,,,,,,,,,,,,Lonny Baxter,Chicago Bulls,Maryland,2002,2,15,43,NCAA,,,,,
,,,,,,,,,,,,,,,,Sam Clancy,Philadelphia 76ers,Southern California,2002,2,16,44,NCAA,,,,,
,,,,,,,,,,,,,,,,Matt Barnes,Memphis Grizzlies,California-Los Angeles,2002,2,17,45,NCAA,,,,,
,,,,,,,,,,,,,,,,Jamal Sampson,Utah Jazz,California,2002,2,18,46,NCAA,,,,,
,,,,,,,,,,,,,,,,Chris Owens,Milwaukee Bucks,Texas,2002,2,19,47,NCAA,,,,,
,,,,,,,,,,,,,,,,Darius Songaila,Boston Celtics,Wake Forest,2002,2,21,49,NCAA,,,,,
,,,,,,,,,,,,,,,,Marcus Taylor,Minnesota Timberwolves,Michigan State,2002,2,23,51,NCAA,,,,,
,,,,,,,,,,,,,,,,Randy Holcomb,San Antonio Spurs,San Diego State,2002,2,28,56,NCAA,,,,,
,,,,,,,,,,,,,,,,Jason Richardson,Golden State Warriors,Michigan State,2001,1,5,5,NCAA,,,,,
,,,,,,,,,,,,,,,,Shane Battier,Memphis Grizzlies,Duke,2001,1,6,6,NCAA,,,,,
,,,,,,,,,,,,,,,,Eddie Griffin,New Jersey Nets,Seton Hall,2001,1,7,7,NCAA,,,,,
,,,,,,,,,,,,,,,,Joe Johnson,Boston Celtics,Arkansas,2001,1,10,10,NCAA,,,,,
,,,,,,,,,,,,,,,,Richard Jefferson,Houston Rockets,Arizona,2001,1,13,13,NCAA,,,,,
,,,,,,,,,,,,,,,,Troy Murphy,Golden State Warriors,Notre Dame,2001,1,14,14,NCAA,,,,,
,,,,,,,,,,,,,,,,Steven Hunter,Orlando Magic,DePaul,2001,1,15,15,NCAA,,,,,
,,,,,,,,,,,,,,,,Kirk Haston,Charlotte Hornets,Indiana,2001,1,16,16,NCAA,,,,,
,,,,,,,,,,,,,,,,Michael Bradley,Toronto Raptors,Villanova,2001,1,17,17,NCAA,,,,,
,,,,,,,,,,,,,,,,Jason Collins,Houston Rockets,Stanford,2001,1,18,18,NCAA,,,,,
,,,,,,,,,,,,,,,,Zach Randolph,Portland Trail Blazers,Michigan State,2001,1,19,19,NCAA,,,,,
,,,,,,,,,,,,,,,,Brendan Haywood,Cleveland Cavaliers,North Carolina,2001,1,20,20,NCAA,,,,,
,,,,,,,,,,,,,,,,Joseph Forte,Boston Celtics,North Carolina,2001,1,21,21,NCAA,,,,,
,,,,,,,,,,,,,,,,Brandon Armstrong,Houston Rockets,Pepperdine,2001,1,23,23,NCAA,,,,,
,,,,,,,,,,,,,,,,Gerald Wallace,Sacramento Kings,Alabama,2001,1,25,25,NCAA,,,,,
,,,,,,,,,,,,,,,,Samuel Dalembert,Philadelphia 76ers,Seton Hall,2001,1,26,26,NCAA,,,,,
,,,,,,,,,,,,,,,,Jamaal Tinsley,Memphis Grizzlies,Iowa State,2001,1,27,27,NCAA,,,,,
,,,,,,,,,,,,,,,,Gilbert Arenas,Golden State Warriors,Arizona,2001,2,2,30,NCAA,,,,,
,,,,,,,,,,,,,,,,Omar Cook,Orlando Magic,St. John's (NY),2001,2,3,31,NCAA,,,,,
,,,,,,,,,,,,,,,,Will Solomon,Memphis Grizzlies,Clemson,2001,2,4,32,NCAA,,,,,
,,,,,,,,,,,,,,,,Terence Morris,Atlanta Hawks,Maryland,2001,2,5,33,NCAA,,,,,
,,,,,,,,,,,,,,,,Brian Scalabrine,New Jersey Nets,Southern California,2001,2,6,34,NCAA,,,,,
,,,,,,,,,,,,,,,,Jeff Trepagnier,Cleveland Cavaliers,Southern California,2001,2,7,35,NCAA,,,,,
,,,,,,,,,,,,,,,,Damone Brown,Philadelphia 76ers,Syracuse,2001,2,8,36,NCAA,,,,,
,,,,,,,,,,,,,,,,Michael Wright,New York Knicks,Arizona,2001,2,10,38,NCAA,,,,,
,,,,,,,,,,,,,,,,Earl Watson,Seattle SuperSonics,California-Los Angeles,2001,2,11,39,NCAA,,,,,
,,,,,,,,,,,,,,,,Jamison Brewer,Indiana Pacers,Auburn,2001,2,12,40,NCAA,,,,,
,,,,,,,,,,,,,,,,Bobby Simmons,Seattle SuperSonics,DePaul,2001,2,13,41,NCAA,,,,,
,,,,,,,,,,,,,,,,Eric Chenowith,New York Knicks,Kansas,2001,2,14,42,NCAA,,,,,
,,,,,,,,,,,,,,,,Sean Lampley,Chicago Bulls,California,2001,2,16,44,NCAA,,,,,
,,,,,,,,,,,,,,,,Loren Woods,Minnesota Timberwolves,Arizona,2001,2,17,45,NCAA,,,,,
,,,,,,,,,,,,,,,,Ken Johnson,Miami Heat,Ohio State,2001,2,20,48,NCAA,,,,,
,,,,,,,,,,,,,,,,Ruben Boumtje-Boumtje,Portland Trail Blazers,Georgetown,2001,2,21,49,NCAA,,,,,
,,,,,,,,,,,,,,,,Alton Ford,Phoenix Suns,Houston,2001,2,22,50,NCAA,,,,,
,,,,,,,,,,,,,,,,Andre Hutson,Milwaukee Bucks,Michigan State,2001,2,23,51,NCAA,,,,,
,,,,,,,,,,,,,,,,Jarron Collins,Utah Jazz,Stanford,2001,2,24,52,NCAA,,,,,
,,,,,,,,,,,,,,,,Kenny Satterfield,Dallas Mavericks,Cincinnati,2001,2,25,53,NCAA,,,,,
,,,,,,,,,,,,,,,,Alvin Jones,Philadelphia 76ers,Georgia Tech,2001,2,28,56,NCAA,,,,,
,,,,,,,,,,,,,,,,Bryan Bracey,San Antonio Spurs,Oregon,2001,2,29,57,NCAA,,,,,
,,,,,,,,,,,,,,,,Kenyon Martin,New Jersey Nets,Cincinnati,2000,1,1,1,NCAA,,,,,
,,,,,,,,,,,,,,,,Stromile Swift,Vancouver Grizzlies,Louisiana State,2000,1,2,2,NCAA,,,,,
,,,,,,,,,,,,,,,,Marcus Fizer,Chicago Bulls,Iowa State,2000,1,4,4,NCAA,,,,,
,,,,,,,,,,,,,,,,Mike Miller,Orlando Magic,Florida,2000,1,5,5,NCAA,,,,,
,,,,,,,,,,,,,,,,DerMarr Johnson,Atlanta Hawks,Cincinnati,2000,1,6,6,NCAA,,,,,
,,,,,,,,,,,,,,,,Chris Mihm,Chicago Bulls,Texas,2000,1,7,7,NCAA,,,,,
,,,,,,,,,,,,,,,,Jamal Crawford,Cleveland Cavaliers,Michigan,2000,1,8,8,NCAA,,,,,
,,,,,,,,,,,,,,,,Joel Przybilla,Houston Rockets,Minnesota,2000,1,9,9,NCAA,,,,,
,,,,,,,,,,,,,,,,Keyon Dooling,Orlando Magic,Missouri,2000,1,10,10,NCAA,,,,,
,,,,,,,,,,,,,,,,Jerome Moiso,Boston Celtics,California-Los Angeles,2000,1,11,11,NCAA,,,,,
,,,,,,,,,,,,,,,,Etan Thomas,Dallas Mavericks,Syracuse,2000,1,12,12,NCAA,,,,,
,,,,,,,,,,,,,,,,Courtney Alexander,Orlando Magic,Fresno State,2000,1,13,13,NCAA,,,,,
,,,,,,,,,,,,,,,,Mateen Cleaves,Detroit Pistons,Michigan State,2000,1,14,14,NCAA,,,,,
,,,,,,,,,,,,,,,,Jason Collier,Milwaukee Bucks,Georgia Tech,2000,1,15,15,NCAA,,,,,
,,,,,,,,,,,,,,,,Desmond Mason,Seattle SuperSonics,Oklahoma State,2000,1,17,17,NCAA,,,,,
,,,,,,,,,,,,,,,,Quentin Richardson,Los Angeles Clippers,DePaul,2000,1,18,18,NCAA,,,,,
,,,,,,,,,,,,,,,,Jamaal Magloire,Charlotte Hornets,Kentucky,2000,1,19,19,NCAA,,,,,
,,,,,,,,,,,,,,,,Morris Peterson,Toronto Raptors,Michigan State,2000,1,21,21,NCAA,,,,,
,,,,,,,,,,,,,,,,Donnell Harvey,New York Knicks,Florida,2000,1,22,22,NCAA,,,,,
,,,,,,,,,,,,,,,,Mamadou N'diaye,Denver Nuggets,Auburn,2000,1,26,26,NCAA,,,,,
,,,,,,,,,,,,,,,,Erick Barkley,Portland Trail Blazers,St. John's (NY),2000,1,28,28,NCAA,,,,,
